title,description,personas,category,text_cleaned_lemmatized,image_url,text_cleaned,website
 Chicago’s First Lady,"Sit back and relax in the glass-enclosed Odyssey Chicago River, featuring lunch, brunch, and dinner cruises all year round. If an open-air sightseeing cruise is more your style, book a guided jaunt on the award-winning Chicago Architecture Foundation Center River Cruise aboard, Wendella, or Mercury Chicago’s Skyline Cruiseline. Chicago Water Taxi and Shoreline Water Taxi excursions, while not guided, are great ways to get to various points along the river. You can travel all the way to Chinatown from the Chicago Riverwalk.",couple,waterfronts,sit back and relax in the glass enclosed odyssey chicago river featuring lunch brunch and dinner cruises all year round if an open air sightseeing cruise is more your style book a guided jaunt on the award winning chicago architecture foundation center river cruise aboard wendella or mercury chicago s skyline cruiseline chicago water taxi and shoreline water taxi excursions while not guided are great ways to get to various points along the river you can travel all the way to chinatown from the chicago riverwalk ,https://cdn.choosechicago.com/uploads/2019/06/CAFC_River_Cruise_Bridge_Lift_horizontal_9986ecf9-4cfe-46fc-af4f-9ab3cd584d82-750x502.jpg,,choosechicago
31st Street Beach ,"Love water sports? (also called Margaret T. Burroughs Beach) is the place to be. The beach itself is located within Burnham Park, originally envisioned by legendary Chicago architect Daniel Burnham (best known for designing the 1893 World’s Fair), and features sweeping skyline views.",couple,beaches,love water sports also called margaret t burroughs beach is the place to be the beach itself is located within burnham park originally envisioned by legendary chicago architect daniel burnham best known for designing the  world s fair and features sweeping skyline views ,,,choosechicago
360 CHICAGO,"Next, jet up to the 94th floor of 875 N. Michigan Ave. (formerly the John Hancock Center). Dare to step onto TILT at , the observation deck’s 1,000-foot thrill ride that offers heart-pounding views of the skyline. Afterward, have dinner on a rooftop at NoMi Kitchen or Shanghai Terrace. Watching the city skyline light up around you is the perfect way to end a romantic date night.",couple,date night ideas,next jet up to the th floor of  n michigan ave formerly the john hancock center dare to step onto tilt at the observation deck s   foot thrill ride that offers heart pounding views of the skyline afterward have dinner on a rooftop at nomi kitchen or shanghai terrace watching the city skyline light up around you is the perfect way to end a romantic date night ,,,choosechicago
Adler Planetarium,"Part of the lakeside complex known as Museum Campus,  is the oldest planetarium in the Western Hemisphere. It’s also a great museum. Future explorers and astronomers of tomorrow will marvel at interactive exhibits, immersive planetarium shows, and special programming designed to inspire the rocket scientists of tomorrow.",family,,part lakeside complex known museum campus oldest planetarium western hemisphere also great museum future explorer astronomer tomorrow marvel interactive exhibit immersive planetarium show special programming designed inspire rocket scientist tomorrow,,,choosechicago
Ambassador Chicago,"End the night basking in chic Gold Coast luxury in a Celebrity Suite at the . These spacious rooms feature king-size beds with imported linens, separate living spaces, and bathrooms with tubs, so you can soak up the romance in style.",couple,date night ideas,end the night basking in chic gold coast luxury in a celebrity suite at the these spacious rooms feature king size beds with imported linens separate living spaces and bathrooms with tubs so you can soak up the romance in style ,,,choosechicago
American Girl Place,"For little kids with big imaginations, a visit to Chicago would not be complete without a trip to , the first store of its kind in the United States. Consider making a reservation for the café at the downtown doll mecca, which serves brunch, lunch, afternoon tea, and dinner. American Girl is located in Water Tower Place on The Magnificent Mile.",family,,little kid big imagination visit chicago would complete without trip first store kind united state consider making reservation café downtown doll mecca serf brunch lunch afternoon tea dinner american girl located water tower place magnificent mile,,,choosechicago
American Writers Museum ,"Visit the Children’s Literature Gallery at the American Writers Museumto get the kids all fired up about reading. A fabulous mural created by celebrated illustrator and author Paul O. Belinsky adorns the gallery, depicting friendly squirrels reading classic kids’ books.",family,,visit child literature gallery american writer museumto get kid fired reading fabulous mural created celebrated illustrator author paul belinsky adorns gallery depicting friendly squirrel reading classic kid book,https://cdn.choosechicago.com/uploads/2019/05/American-Writers-Museum.jpg,,choosechicago
Art Institute of Chicago ,"Don’t think the kids will enjoy an art museum? Then you haven’t visited the Art Institute‘s Thorne Miniature Rooms. These meticulously reproduced miniature rooms bring the world of art and architecture to a kid’s level. There’s also free admission to the Ryan Education Center, which hosts special events, interactive workshops, and family programming for kids 14 and under.

Spend the afternoon with some of the world’s most famous masterpieces at the , one of the country’s oldest and largest art museums. Don’t miss the extensive Impressionism collection and the striking Modern Wing.",all,romantic weekend,"think kid enjoy art museum visited art institute ‘ thorne miniature room meticulously reproduced miniature room bring world art architecture kid level also free admission ryan education center host special event interactive workshop family programming kid

spend the afternoon with some of the world s most famous masterpieces at the one of the country s oldest and largest art museums don t miss the extensive impressionism collection and the striking modern wing ",https://cdn.choosechicago.com/uploads/2019/08/07195792-e1566185494402-900x530.jpg,,choosechicago
Azul,": This spacious and brightly colored patio space offers a unique view of the adjacent Chicago River and city skyline, plus a menu of Mexican seafood.",couple,outdoor dining, this spacious and brightly colored patio space offers a unique view of the adjacent chicago river and city skyline plus a menu of mexican seafood ,https://cdn.choosechicago.com/uploads/2020/06/CHOOSE_CHICAGO_08_HydePark_Virtue-900x516.jpg,,choosechicago
Bambola,": This richly decorated spot in the West Loop is features an open-air dining area and sun-drenched patio, the perfect place to enjoy happy hour or dinner",couple,outdoor dining, this richly decorated spot in the west loop is features an open air dining area and sun drenched patio the perfect place to enjoy happy hour or dinner,https://cdn.choosechicago.com/uploads/2022/05/Bambola-Opening-Day-14-658x800.jpg,,choosechicago
Bar Mar,": Award-winning chef José Andrés serves fresh oysters, ceviches, lobster rolls, and more at this seafood-focused oasis in the Loop.",couple,outdoor dining, award winning chef josé andrés serves fresh oysters ceviches lobster rolls and more at this seafood focused oasis in the loop ,https://cdn.choosechicago.com/uploads/2022/05/Bar-Mar_2670-900x600.jpg,,choosechicago
Bavette’s Steakhouse & Bar,"This dimly lit spot is a stylish take on a traditional steakhouse. The sultry space at  is decked out with timeless touches, like comfy leather booths, mirrored walls, and glittering antique chandeliers. The menu is old school too, with classic selections like chilled seafood towers, baked crab cakes, and the best cuts of meat. Don’t miss the chocolate cream pie, it’s the perfect dessert for two.",couple,romantic restaurants,this dimly lit spot is a stylish take on a traditional steakhouse the sultry space at is decked out with timeless touches like comfy leather booths mirrored walls and glittering antique chandeliers the menu is old school too with classic selections like chilled seafood towers baked crab cakes and the best cuts of meat don t miss the chocolate cream pie it s the perfect dessert for two ,,,choosechicago
Beat Kitchen on the Riverwalk,"is an outpost of a popular music venue and restaurant in Roscoe Village. Located adjacent to DuSable Bridge,  serves carefully crafted food with fresh ingredients, including tacos, thin-crust pizza, and mac and cheese, along with a full-service bar. The patio offers views of some of Chicago’s most historic structures, like the Wrigley Building.",couple,riverwalk restaurants,s an outpost of a popular music venue and restaurant in roscoe village located adjacent to dusable bridge serves carefully crafted food with fresh ingredients including tacos thin crust pizza and mac and cheese along with a full service bar the patio offers views of some of chicago s most historic structures like the wrigley building ,,,choosechicago
Beatnik on the River,"is a Bohemian paradise tucked away on a quiet stretch of the Chicago River. The waterfront restaurant features lush plants, creative cocktails, and colorful daybeds perfect for lounging in the sun. The globally inspired menu includes bites like falafel with black tahini yogurt, Lebanese roast lamb, and scallops with Jamón Ibérico.",couple,outdoor dining,s a bohemian paradise tucked away on a quiet stretch of the chicago river the waterfront restaurant features lush plants creative cocktails and colorful daybeds perfect for lounging in the sun the globally inspired menu includes bites like falafel with black tahini yogurt lebanese roast lamb and scallops with jamón ibérico ,https://cdn.choosechicago.com/uploads/2019/06/Beatnik-On-The-River-2019-Francis-Son-Top-Pics-01-900x600.jpg,,choosechicago
beer garden,"The lakefront Navy Pier offers tons of dining options, many with outdoor patios featuring sweeping water views. Enjoy live music and cold drinks in the , casual Latin fare at Bar Sol, cocktails and breathtaking views at Offshore Rooftop, and upscale Spanish cuisine at Lirica.",couple,waterfront restaurants,the lakefront navy pier offers tons of dining options many with outdoor patios featuring sweeping water views enjoy live music and cold drinks in the casual latin fare at bar sol cocktails and breathtaking views at offshore rooftop and upscale spanish cuisine at lirica ,https://cdn.choosechicago.com/uploads/2019/06/NAVY_PIER_63_116e2fb6-bee1-434e-b0c3-452822e5d00f-900x601.jpg,,choosechicago
Big Jones,: Enjoy Southern cooking straight from New Orleans on this welcoming backyard patio in the Andersonville neighborhood.,couple,outdoor dining, enjoy southern cooking straight from new orleans on this welcoming backyard patio in the andersonville neighborhood ,,,choosechicago
Big Star,"The  patio is the place to be during summer in Chicago. The bustling Wicker Park space is always packed on nice weather days, when people from all over the city gather to enjoy pitchers of margaritas, tacos on handmade tortillas, whisky cocktails, and the energy of the neighborhood. If the wait for a seat is too long, head to the walk-up window for a bag of tacos to enjoy in the nearby park.",couple,outdoor dining,the patio is the place to be during summer in chicago the bustling wicker park space is always packed on nice weather days when people from all over the city gather to enjoy pitchers of margaritas tacos on handmade tortillas whisky cocktails and the energy of the neighborhood if the wait for a seat is too long head to the walk up window for a bag of tacos to enjoy in the nearby park ,https://cdn.choosechicago.com/uploads/2019/09/BigStar-900x600.jpg,,choosechicago
Big Star West Town,Heads up: The  location also has a large patio and a prime location near Fulton Market and the United Center.,couple,outdoor dining,heads up the location also has a large patio and a prime location near fulton market and the united center ,,,choosechicago
Bike tours,"Sign up for Bobby’s Bike Hike’s kiddie edition, Bobby’s Tike Hike, designed specifically for kids aged 10 and under. Both Bobby’s Bike Hike and Bike and Roll Chicago give you the option of buying infant/toddler tickets that include special equipment such as child seats, comfy trailer carriers, and tag-a-long attachments.",family,,sign bobby bike hike kiddie edition bobby tike hike designed specifically kid aged bobby bike hike bike roll chicago give option buying infant toddler ticket include special equipment child seat comfy trailer carrier tag long attachment,,,choosechicago
Blue Door Kitchen & Garden,"This charming Gold Coast gem feels like dining in the backyard of your (incredibly chic) best friend. The patio at  is a secluded outdoor space filled with string lights, hanging chandeliers, greenery, and bistro-style seating. The fresh, farm-to-table menu is crafted by chef-to-the-stars Art Smith and changes seasonally.",couple,outdoor dining,this charming gold coast gem feels like dining in the backyard of your incredibly chic best friend the patio at is a secluded outdoor space filled with string lights hanging chandeliers greenery and bistro style seating the fresh farm to table menu is crafted by chef to the stars art smith and changes seasonally ,https://cdn.choosechicago.com/uploads/2020/01/Blue-Door-Kitchen-patio_photo-by-Skylar-Taft-900x593.png,,choosechicago
Blue Man Group,"is the epitome of theatre fun — a multi-sensory, performance art experience that keeps kids wide-eyed from the moment the curtain goes up. And if you pick a seat in the “Splash Zone,” expect things to get pretty messy!",family,,epitome theatre fun multi sensory performance art experience keep kid wide eyed moment curtain go pick seat “ splash zone expect thing get pretty messy,https://cdn.choosechicago.com/uploads/2019/05/Blue-Man-Group-1.jpg,,choosechicago
BLVD Steakhouse,": This West Loop steakhouse extends the glamorous vibes onto its massive patio, complete with an outdoor bar.",couple,outdoor dining, this west loop steakhouse extends the glamorous vibes onto its massive patio complete with an outdoor bar ,,,choosechicago
