title,description,personas,category,text_cleaned_lemmatized,image_url,text_cleaned
 Chicago’s First Lady,"Sit back and relax in the glass-enclosed Odyssey Chicago River, featuring lunch, brunch, and dinner cruises all year round. If an open-air sightseeing cruise is more your style, book a guided jaunt on the award-winning Chicago Architecture Foundation Center River Cruise aboard, Wendella, or Mercury Chicago’s Skyline Cruiseline. Chicago Water Taxi and Shoreline Water Taxi excursions, while not guided, are great ways to get to various points along the river. You can travel all the way to Chinatown from the Chicago Riverwalk.",couple,waterfronts,sit back and relax in the glass enclosed odyssey chicago river featuring lunch brunch and dinner cruises all year round if an open air sightseeing cruise is more your style book a guided jaunt on the award winning chicago architecture foundation center river cruise aboard wendella or mercury chicago s skyline cruiseline chicago water taxi and shoreline water taxi excursions while not guided are great ways to get to various points along the river you can travel all the way to chinatown from the chicago riverwalk ,https://cdn.choosechicago.com/uploads/2019/06/CAFC_River_Cruise_Bridge_Lift_horizontal_9986ecf9-4cfe-46fc-af4f-9ab3cd584d82-750x502.jpg,
31st Street Beach ,"Love water sports? (also called Margaret T. Burroughs Beach) is the place to be. The beach itself is located within Burnham Park, originally envisioned by legendary Chicago architect Daniel Burnham (best known for designing the 1893 World’s Fair), and features sweeping skyline views.",couple,beaches,love water sports also called margaret t burroughs beach is the place to be the beach itself is located within burnham park originally envisioned by legendary chicago architect daniel burnham best known for designing the  world s fair and features sweeping skyline views ,,
360 CHICAGO,"Next, jet up to the 94th floor of 875 N. Michigan Ave. (formerly the John Hancock Center). Dare to step onto TILT at , the observation deck’s 1,000-foot thrill ride that offers heart-pounding views of the skyline. Afterward, have dinner on a rooftop at NoMi Kitchen or Shanghai Terrace. Watching the city skyline light up around you is the perfect way to end a romantic date night.",couple,date night ideas,next jet up to the th floor of  n michigan ave formerly the john hancock center dare to step onto tilt at the observation deck s   foot thrill ride that offers heart pounding views of the skyline afterward have dinner on a rooftop at nomi kitchen or shanghai terrace watching the city skyline light up around you is the perfect way to end a romantic date night ,,
Adler Planetarium,"Part of the lakeside complex known as Museum Campus,  is the oldest planetarium in the Western Hemisphere. It’s also a great museum. Future explorers and astronomers of tomorrow will marvel at interactive exhibits, immersive planetarium shows, and special programming designed to inspire the rocket scientists of tomorrow.",family,,part lakeside complex known museum campus oldest planetarium western hemisphere also great museum future explorer astronomer tomorrow marvel interactive exhibit immersive planetarium show special programming designed inspire rocket scientist tomorrow,,
Ambassador Chicago,"End the night basking in chic Gold Coast luxury in a Celebrity Suite at the . These spacious rooms feature king-size beds with imported linens, separate living spaces, and bathrooms with tubs, so you can soak up the romance in style.",couple,date night ideas,end the night basking in chic gold coast luxury in a celebrity suite at the these spacious rooms feature king size beds with imported linens separate living spaces and bathrooms with tubs so you can soak up the romance in style ,,
American Girl Place,"For little kids with big imaginations, a visit to Chicago would not be complete without a trip to , the first store of its kind in the United States. Consider making a reservation for the café at the downtown doll mecca, which serves brunch, lunch, afternoon tea, and dinner. American Girl is located in Water Tower Place on The Magnificent Mile.",family,,little kid big imagination visit chicago would complete without trip first store kind united state consider making reservation café downtown doll mecca serf brunch lunch afternoon tea dinner american girl located water tower place magnificent mile,,
American Writers Museum ,"Visit the Children’s Literature Gallery at the American Writers Museumto get the kids all fired up about reading. A fabulous mural created by celebrated illustrator and author Paul O. Belinsky adorns the gallery, depicting friendly squirrels reading classic kids’ books.",family,,visit child literature gallery american writer museumto get kid fired reading fabulous mural created celebrated illustrator author paul belinsky adorns gallery depicting friendly squirrel reading classic kid book,https://cdn.choosechicago.com/uploads/2019/05/American-Writers-Museum.jpg,
Art Institute of Chicago ,"Don’t think the kids will enjoy an art museum? Then you haven’t visited the Art Institute‘s Thorne Miniature Rooms. These meticulously reproduced miniature rooms bring the world of art and architecture to a kid’s level. There’s also free admission to the Ryan Education Center, which hosts special events, interactive workshops, and family programming for kids 14 and under.

Spend the afternoon with some of the world’s most famous masterpieces at the , one of the country’s oldest and largest art museums. Don’t miss the extensive Impressionism collection and the striking Modern Wing.",all,romantic weekend,"think kid enjoy art museum visited art institute ‘ thorne miniature room meticulously reproduced miniature room bring world art architecture kid level also free admission ryan education center host special event interactive workshop family programming kid

spend the afternoon with some of the world s most famous masterpieces at the one of the country s oldest and largest art museums don t miss the extensive impressionism collection and the striking modern wing ",https://cdn.choosechicago.com/uploads/2019/08/07195792-e1566185494402-900x530.jpg,
Azul,": This spacious and brightly colored patio space offers a unique view of the adjacent Chicago River and city skyline, plus a menu of Mexican seafood.",couple,outdoor dining, this spacious and brightly colored patio space offers a unique view of the adjacent chicago river and city skyline plus a menu of mexican seafood ,https://cdn.choosechicago.com/uploads/2020/06/CHOOSE_CHICAGO_08_HydePark_Virtue-900x516.jpg,
Bambola,": This richly decorated spot in the West Loop is features an open-air dining area and sun-drenched patio, the perfect place to enjoy happy hour or dinner",couple,outdoor dining, this richly decorated spot in the west loop is features an open air dining area and sun drenched patio the perfect place to enjoy happy hour or dinner,https://cdn.choosechicago.com/uploads/2022/05/Bambola-Opening-Day-14-658x800.jpg,
