title,description,personas,category,image_url,text_cleaned,text_cleaned_lemmatized
Chicago Cultural Center,"This historic landmark hosts hundreds of free programs year-round. Take a free building tour to see the worldâs largest glass Tiffany done, check out the schedule of free events and exhibits, catch one of the weekly classical music concerts to blues, jazz and more. Also check out the daily  schedule for free dance performances, film screenings, seminars, and theatrical events.Â 77 E. Randolph St., Loop",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/8add71f9_9052_45a9_aeb5_694731edd746_52bed905-6baa-4b77-ad49-fec9e2154e62-1.jpg,this historic landmark hosts hundreds of free programs year round take a free building tour to see the world s largest glass tiffany done check out the schedule of free events and exhibits catch one of the weekly classical music concerts to blues jazz and more also check out the daily schedule for free dance performances film screenings seminars and theatrical events  e randolph st loop,historic landmark host hundred free program year round take free building tour see world largest glass tiffany done check schedule free event exhibit catch one weekly classical music concert blue jazz also check daily schedule free dance performance film screening seminar theatrical event e randolph st loop
Chicago Greeter,"The  program pairs knowledgeable (and friendly!) locals with Chicago visitors for an informal, insiderâs orientation of the city and its many vibrant neighborhoods. Through customized, guided walks you can sightsee all across the city based on your particular interest areas, from public art and architecture to food and films.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/AA_ChicagoGreeterChinaTown2_ef9a62d5-6099-481b-9e61-274bdfc23e25.jpg,the program pairs knowledgeable and friendly locals with chicago visitors for an informal insider s orientation of the city and its many vibrant neighborhoods through customized guided walks you can sightsee all across the city based on your particular interest areas from public art and architecture to food and films ,program pair knowledgeable friendly local chicago visitor informal insider orientation city many vibrant neighborhood customized guided walk sightsee across city based particular interest area public art architecture food film
Lakefront Trail,"Hit the scenic  to run, walk, bike or rollerblade with the blue waters of Lake Michigan to one side and gorgeous, green parks to the other. Along the trail, youâll find beaches, gardens, public art, playgrounds, tennis courts, and more. 5800 N. Sheridan Rd. to 7100 S. South Shore Drive",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/AA_SpringLincolnPark_22_0a447a4a-bfdc-4c05-89c4-52097712429f.jpg,hit the scenic to run walk bike or rollerblade with the blue waters of lake michigan to one side and gorgeous green parks to the other along the trail you ll find beaches gardens public art playgrounds tennis courts and more  n sheridan rd to  s south shore drive,hit scenic run walk bike rollerblade blue water lake michigan one side gorgeous green park along trail find beach garden public art playground tennis court n sheridan rd south shore drive
Chicago Riverwalk,"Walk along the award-winning , a scenic waterfront promenade that stretches through the heart of the city. Watch a bridge lift from inside the bridge house with a visit the McCormick Bridgehouse & Chicago River Museum(free on Sundays) and take in the world-famous architecture that lines the Chicago River. East Upper Wacker Drive from Lake Street to Jean Baptiste Point du Sable Lake Shore Drive",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/RP_RIVERWALK_182_0d710a55-b261-438b-b32e-10b96b093bb3.jpg,walk along the award winning a scenic waterfront promenade that stretches through the heart of the city watch a bridge lift from inside the bridge house with a visit the mccormick bridgehouse chicago river museum free on sundays and take in the world famous architecture that lines the chicago river east upper wacker drive from lake street to jean baptiste point du sable lake shore drive,walk along award winning scenic waterfront promenade stretch heart city watch bridge lift inside bridge house visit mccormick bridgehouse chicago river museum free sunday take world famous architecture line chicago river east upper wacker drive lake street jean baptiste point du sable lake shore drive
art gallery,"This treasured landmark on The Magnificent Mile has been transformed into a free  for rotating exhibits featuring local photographers and artists. Constructed between 1867 and 1869, the Water Tower was one of the few buildings to survive the Great Chicago Fire of 1871. 806 N. Michigan Ave.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/AA_Fall_WaterTower02_4baf9d23-17fd-4081-9262-79345feb96f4.jpg,this treasured landmark on the magnificent mile has been transformed into a free for rotating exhibits featuring local photographers and artists constructed between  and  the water tower was one of the few buildings to survive the great chicago fire of   n michigan ave ,treasured landmark magnificent mile transformed free rotating exhibit featuring local photographer artist constructed water tower one building survive great chicago fire n michigan ave
Clarke House Museum,"Located in the gorgeous Prairie Avenue Historic District, the  is Chicagoâs oldest house, constructed for Henry B. Clarke in 1836. See what life was like for a family in Chicago during the cityâs early years, when much of the area was still undeveloped prairie. 1827 S. Indiana Ave.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/Henry_B_Clarke_House_379dee0a-5ebc-440c-84a8-a89c5669df3d.jpg,located in the gorgeous prairie avenue historic district the is chicago s oldest house constructed for henry b clarke in  see what life was like for a family in chicago during the city s early years when much of the area was still undeveloped prairie  s indiana ave ,located gorgeous prairie avenue historic district chicago oldest house constructed henry b clarke see life like family chicago city early year much area still undeveloped prairie indiana ave
Ed Paschke Art Center,The mission of the  is to preserve and provide public access to the work of the legendary Chicago artist Ed Paschke and be a platform for artists to showcase their work. 5415 W. Higgins Ave.,budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/EPAC_inside_35e2a1f7-6ed9-402d-97fb-20064aa25ea7.jpg,the mission of the is to preserve and provide public access to the work of the legendary chicago artist ed paschke and be a platform for artists to showcase their work  w higgins ave ,mission preserve provide public access work legendary chicago artist ed paschke platform artist showcase work w higgins ave
Garfield Park Conservatory,Explore exotic gardens under glass at the . The stunning space has a half dozen greenhouses of rare and native species. 300 N. Central Park Ave.,budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/AA_EPIC_GarfieldParkCons_12_f4113589-6df3-438b-b593-8e757c451e8c-750x445.jpg,explore exotic gardens under glass at the the stunning space has a half dozen greenhouses of rare and native species  n central park ave ,explore exotic garden glass stunning space half dozen greenhouse rare native specie n central park ave
one of the largest public libraries in the world,"This is , filling a whole city block and housing more than 13-million published works. Check out the sun-filled Winter Garden and explore the art collection that features over 50 local and internationally known artists displayed throughout the halls and reading rooms. 400 S. State St.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/Harold_Washington_Library_Center_winter_garden_045d264a-532d-434a-b483-70aca4cc49a7.jpg,this is filling a whole city block and housing more than  million published works check out the sun filled winter garden and explore the art collection that features over  local and internationally known artists displayed throughout the halls and reading rooms  s state st ,filling whole city block housing million published work check sun filled winter garden explore art collection feature local internationally known artist displayed throughout hall reading room state st
Hyde Park Art Center,"If youâre looking for open-to-the-public gallery talks, poetry readings, musical performances, and art classes,  offers free cultural exhibitions for visitors of all ages. 5020 S. Cornell Ave.",budget,free things to do,https://cdn.choosechicago.com/uploads/2019/06/HydePark_5_20_13_03_952abfa6-8344-4183-a449-779b5a2fc990.jpg,if you re looking for open to the public gallery talks poetry readings musical performances and art classes offers free cultural exhibitions for visitors of all ages  s cornell ave ,looking open public gallery talk poetry reading musical performance art class offer free cultural exhibition visitor age cornell ave
