title,description,image,Source,category,text_cleaned
"Baha’i House of Worship, Wilmette","Overlooking glittering Wilmette Harbor and Lake Michigan, the Baha’i Temple rises like an ivory jewel catching the sunlight of longer days. The arabesque panels embrace natural light during the day and illuminate from within at night. This stunning site has no bad sides so budding photographers can stroll nine circular fragrant gardens and fountains to catch all her beautiful angles (for selfies or otherwise). Nearby Convito will spoil you after a morning visit with their incredible brunch menu featuring European delights from Beignets to Classic Mussels followed by Classic Eggs Benedicts or Tuscan Grilled Atlantic Salmon (wine and cocktails, too).",https://www.visitchicagonorthshore.com/images/blog/AprBlog1_Bahai1.jpg,chicagonorthshore,spring,overlooking glittering wilmette harbor lake michigan baha temple rise like ivory jewel catching sunlight longer day arabesque panel embrace natural light day illuminate within night stunning site bad side budding photographer stroll nine circular fragrant garden fountain catch beautiful angle selfies otherwise nearby convito spoil morning visit incredible brunch menu featuring european delight beignet classic mussel followed classic egg benedict tuscan grilled atlantic salmon wine cocktail
"Chicago Botanic Garden, Glencoe","Binoculars encouraged! The most expansive view of changing seasons is the renown Chicago Botanic Garden. Take a self-guided meander across their 385 acres of natural beauty. Or sign up for a Seasonal Tree Walk (Wednesdays) or Spring Bird Walk (Saturdays, Thursdays). To keep the plant-tastique vibe going, enjoy lunch or dinner at Spirit Elephant, a new peak in vegetarian cuisine. Entrees shine like the Meatless Loaf Bourguignon (red wine mushroom gravy, asparagus, carrots, mashed potatoes) with hand-crafted and seasonal cocktails.",https://www.visitchicagonorthshore.com/images/blog/Apr24Blog1_CBG2.jpg,chicagonorthshore,spring,binoculars encouraged expansive view changing season renown chicago botanic garden take self guided meander across acre natural beauty sign seasonal tree walk wednesday spring bird walk saturday thursday keep plant tastique vibe going enjoy lunch dinner spirit elephant new peak vegetarian cuisine entree shine like meatless loaf bourguignon red wine mushroom gravy asparagus carrot mashed potato hand crafted seasonal cocktail
"Northshore Sculpture Park, Skokie","Picture perfect for a walk or bike ride short or long, this park runs for two miles like a lavish ribbon along the north channel of the Chicago River. Free and accessible to all, the outdoor museum showcases 70+ sculptures both figurative and abstract in bronze, copper, steel, concrete, and salvaged objects. With picnic areas dotted along the way, get sustenance for your art adventure with sandwiches from mission-driven Will’s Place. Coffee shop by morning, their afternoon sandwich fare is delish from a Rueben or Hot Dog to Truffled Grilled Cheese.",https://www.visitchicagonorthshore.com//images/blog/Apr24Blog1_SkokieScuplture.jpg,chicagonorthshore,spring,picture perfect walk bike ride short long park run two mile like lavish ribbon along north channel chicago river free accessible outdoor museum showcase sculpture figurative abstract bronze copper steel concrete salvaged object picnic area dotted along way get sustenance art adventure sandwich mission driven place coffee shop morning afternoon sandwich fare delish rueben hot dog truffled grilled cheese
"River Trail Nature Center, Northbrook","Pick from three walking trails on the River Trail Nature Center grounds through floodplain forest, wetlands, woodlands, and an ancient remnant of sugar maple-basswood forest. The mix of habitats hosts an amazing variety of birds, plants, and wildlife. Hit the Center at feeding time to see ambassador animals up close or DIY the GPS Scavenger Hunt, a technology-inspired tour. Bookend a hunt or hike at famed Jewish-American deli and bakery Max and Benny’s. Potato pancakes, blintzes, or a breakfast burrito energize before embarking or go nuts at the deli counter.",https://www.visitchicagonorthshore.com/images/blog/Apr24Blog1_RiverTrail4.jpg,chicagonorthshore,spring,pick three walking trail river trail nature center ground floodplain forest wetland woodland ancient remnant sugar maple basswood forest mix habitat host amazing variety bird plant wildlife hit center feeding time see ambassador animal close diy gps scavenger hunt technology inspired tour bookend hunt hike famed jewish american deli bakery max benny potato pancake blintz breakfast burrito energize embarking go nut deli counter
"The Grove National Historic Landmark, Glenview","The intersection of history and nature, The Grove spreads across 150 acres of ecologically-diverse trails winding through oak-hickory savanna and wetland pools. A pit stop at the Interpretive Center to visit live birds, turtles, snakes, and fish is as entertaining as it is educational, as are the functioning Blacksmith Shop, Log Cabin, bark Longhouse, and restored Kennicott House. Then hit up Hangar Two, a next-level brewpub with its beautiful glass atrium. Along with their craft beers, the sunny brunch menu charms with options like the Paco: An affectionate pancake taco combo.",https://www.visitchicagonorthshore.com/images/blog/Apr24Blog1_Grove5.jpg,chicagonorthshore,spring,intersection history nature grove spread across acre ecologically diverse trail winding oak hickory savanna wetland pool pit stop interpretive center visit live bird turtle snake fish entertaining educational functioning blacksmith shop log cabin bark longhouse restored kennicott house hit hangar two next level brewpub beautiful glass atrium along craft beer sunny brunch menu charm option like paco affectionate pancake taco combo
Emily Oaks Nature Center,"Nature is truly appreciated at this 13 acre savanna and center. People of all ages enjoy this natural oasis full of native wildflowers, grasses, oak trees, three-acr...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Skokie_Emily_Oaks_Nature_Center0_a9655d1d-5056-a348-3ae2837cbf71ca88.png",chicagonorthshore,family fun,nature truly appreciated acre savanna center people age enjoy natural oasis full native wildflower grass oak tree three acr
Evanston Beaches,"Swimming, boating, picnicking, and tennis facilities are available with miles of pretty biking and jogging paths along Lake Michigan. Beaches locations: Lighthouse B...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Evanston_Beaches0_a97483f4-5056-a348-3a6c8fadda9e2abb.png",chicagonorthshore,family fun,swimming boating picnicking tennis facility available mile pretty biking jogging path along lake michigan beach location lighthouse b
Exploritorium,"A great place for youngsters to play, especially when the weather is unpleasant. Children and adults can explore together through lots of interactive stations. Make-...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Skokie_Exploritorium0_a974241f-5056-a348-3aabe6b5cb664526.png",chicagonorthshore,family fun,great place youngster play especially weather unpleasant child adult explore together lot interactive station make
Funtopia Adventure Park,"A large, active entertainment facility that combines sports and fun with numerous attractions such as indoor climbing walls, a rope course, a caving system, and more...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Funtopia.jpg10-0b515a675056a34_0b515bba-5056-a348-3a3e301838137d6f.jpg",chicagonorthshore,family fun,large active entertainment facility combine sport fun numerous attraction indoor climbing wall rope course caving system
Glencoe Beach,"Right in your own backyard is Lake Michigan's most beautiful spot on the North Shore, Glencoe Beach. The beach is ideal for group and family outings, work picnics, o...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/beach10_a93028a5-5056-a348-3a66b9117cbb72ed.jpg",chicagonorthshore,family fun,right backyard lake michigan 's beautiful spot north shore glencoe beach beach ideal group family outing work picnic
Grove National Historic Landmark,"The Grove offers 145 acres of nature preserve with trails to walk through woodland, prairie and natural wetlands. Visitors will enjoy the Interpretive Center filled ...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Glenview_The_Grove0_a970480c-5056-a348-3a9f0ac3644531af.png",chicagonorthshore,family fun,grove offer acre nature preserve trail walk woodland prairie natural wetland visitor enjoy interpretive center filled
Halim Time and Glass Museum,"The museum showcases two magnificent collections of time pieces and stained glass by America's greatest artists. Housing more than 1,100 pieces from around the worl...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/HalimMuseum0-c2c12ae75056a34_c2c12d47-5056-a348-3ab9ccbc0de0210d.jpg",chicagonorthshore,family fun,museum showcase two magnificent collection time piece stained glass america 's greatest artist housing piece around worl
Heritage Park,"Heritage Park is a 100+ acre nature, recreation and community gathering place. Offering something for everyone including 10-acre Lake Heritage with breathtaking scen...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Wheeling_Heritage_Park1_a940a223-5056-a348-3a6e0c65a9e379d6.png",chicagonorthshore,family fun,heritage park acre nature recreation community gathering place offering something everyone including acre lake heritage breathtaking scen
Historic Wagner Farm,One of the last working dairy farms in Cook County is open to the public for recreation and learning. Explore the world of American agriculture and rural life as it ...,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Glenview_Wagner_Farm_20_a96aa48f-5056-a348-3a37b28ec0d11fba.png",chicagonorthshore,family fun,one last working dairy farm cook county open public recreation learning explore world american agriculture rural life
Ignite Gaming,The premier gaming venue to play hundreds of PC and console games with your friends while enjoying food and drinks! Open until 3am daily....,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/IgniteGaming0-4bf587f45056a34_4bf58930-5056-a348-3a0b5b19de42099b.jpg",chicagonorthshore,family fun,premier gaming venue play hundred pc console game friend enjoying food drink open daily
JCC Chicago /Bernard Weinger JCC,"Bernard Weinger JCC features an indoor, 25-yard swimming pool, 7,000 sq. foot gymnasium, multi-purpose rooms, outdoor field space and Lustbader Health Club, a boutiq...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Lobby-Space_Weinger.meetingjpg-1--b3b6a0645056a34_b3b6a2d5-5056-a348-3a91e5f21492fa1b.jpg",chicagonorthshore,family fun,bernard weinger jcc feature indoor yard swimming pool sq foot gymnasium multi purpose room outdoor field space lustbader health club boutiq
Kohl Children's Museum,"Offering hands-on, interactive exhibits designed exclusively for children. Learning is fun and interesting here. A visit to a grocery store, a veterinarian's office ...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Glenview_Kohl_Childrens_Museum_10_a963da5c-5056-a348-3ab8754a2673546e.png",chicagonorthshore,family fun,offering hand interactive exhibit designed exclusively child learning fun interesting visit grocery store veterinarian 's office
Ladd Memorial Arboretum & Evanston Ecology Center,"Stretching along a three-quarter mile segment of McCormick Boulevard on a narrow, 23 acre strip of reclaimed land following the diagonal course of the North Shore Ch...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Evanston_Ladd_Memorial_Arboretum_and_Evanston_Ecology_Center0_a9632f3a-5056-a348-3a456c1328c018bc.png",chicagonorthshore,family fun,stretching along three quarter mile segment mccormick boulevard narrow acre strip reclaimed land following diagonal course north shore ch
Lock Chicago - Escape Rooms,"Lock Chicago Escape Rooms in Evanston is excited to announce our brand new experience, ""Icarus"" to our new facility at 2510 Green Bay Road! Your team is tasked with ...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/LockChicago0-ea32a18a5056a34_ea32a3ab-5056-a348-3a3a035a8163bd6a.jpg",chicagonorthshore,family fun,lock chicago escape room evanston excited announce brand new experience `` icarus '' new facility green bay road team tasked
North Shore Sports Center,"North Shore's top choice when planning impactful interaction. The 96,000 square foot Sports and Events Center combines state-of-the-art indoor fields, courts and ada...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Northbrook_The_Accelerated_Center0_a9784fc7-5056-a348-3a6f14feaa881370.png",chicagonorthshore,family fun,north shore 's top choice planning impactful interaction square foot sport event center combine state art indoor field court ada
Pinstripes,"Take a break from routine and gather with family and friends where sophistication meets fun at this distinctive 40,000 sq ft. dining and entertainment venue with 18 ...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Northbrook_Pinstripes0_a95c5fbe-5056-a348-3afa7038c918e4be.png",chicagonorthshore,family fun,take break routine gather family friend sophistication meet fun distinctive sq ft dining entertainment venue
Skatium Ice Arena,"Listen closely and you can hear the echoes of legends Scott Hamilton, Denis Savard, Evan Lysacek, Sasha Cohen and Stan Mikita. Whether your preference is hockey, fig...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Skokie_Skatium_Ice_Arena0_a958cc93-5056-a348-3afbe5d9c3e2a696.png",chicagonorthshore,family fun,listen closely hear echo legend scott hamilton denis savard evan lysacek sasha cohen stan mikita whether preference hockey fig
Skokie Sports Park,"Featuring one of the top 100 rated golf ranges in the U.S., complete with a two-tier, 40 station range with an automatic tee-up system. The driving range features a...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Skokie_Skokie_Sports_Park0_a95741c6-5056-a348-3a649ad27a049771.png",chicagonorthshore,family fun,featuring one top rated golf range u complete two tier station range automatic tee system driving range feature
Skokie Water Playground,"This fun facility features include five slides, a fully-accessible Sprayground, and interactive multi-level play area. The large splashing water bucket is always a h...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Skokie_Skokie_Water_Playground0_a9567fe0-5056-a348-3a7c7dd387394c27.png",chicagonorthshore,family fun,fun facility feature include five slide fully accessible sprayground interactive multi level play area large splashing water bucket always h
Splash Landings,"No matter what the season, there’s always plenty of water fun at the Glenview Park District’s four-pool indoor aquatic center. Bring the whole family to enjoy the Pl...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Glenview_Splash_Landings0_a9556a64-5056-a348-3ae4997ea8e0d47d.jpg",chicagonorthshore,family fun,matter season always plenty water fun glenview park district four pool indoor aquatic center bring whole family enjoy pl
The Talking Farm,"A non-profit dedicated to educating the community about agriculture, biodiversity, and horticulture. Using sustainable practices, they grove and distribute season pr...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/TalkingFarm0-9197e1335056a34_9197e320-5056-a348-3a93eafde1798cf7.jpg",chicagonorthshore,family fun,non profit dedicated educating community agriculture biodiversity horticulture using sustainable practice grove distribute season pr
