category,title,description,start_date,start_time,end_date,end_time,location,address,image_url
"Festivals, Fairs & Special Events, Tours & Attractions",Spirits & Spice Oakbrook Whiskey Experiences,"Taste some of the finest whiskeys on a 45-minute guided tour at Spirits & Spice Oakbrook. Whether you know nothing about whiskey, know a little…","Thursday, February 15th",5:45 p.m.,"Friday, November 29th",6:30 p.m.,Spirits & Spice Oakbrook,441 Oakbrook Center,https://cdn.choosechicago.com/uploads/2024/02/EVENT-COVERS-FOR-EVENT-PROMOTIONS-900x507.png
"Festivals, Fairs & Special Events, Tours & Attractions",Tasty Tuesdays – TRY Spring Cocktail recipes – Oakbrook,Tasty Tuesdays – Every Tuesday sample Spirits & Spice Spring Cocktail recipes. Bring the Spring at Spirits & Spice in Oakbrook! Tasty Tuesdays is the…,"Tuesday, March 5th",5:00 p.m.,"Tuesday, May 28th",6:00 p.m.,Spirits & Spice Oakbrook,441 Oakbrook Center,https://cdn.choosechicago.com/uploads/2024/02/EVENT-COVERS-FOR-EVENT-PROMOTIONS-copy-900x507.jpg
Theatre & Performing Arts,Jersey Boys,"Winner of Best Musical at both the Tony Awards and Olivier Awards, “Jersey Boys” takes you behind the music of Frankie Valli and The Four…","Friday, March 15th",7:30 p.m.,"Sunday, May 19th",9:30 p.m.,Mercury Theater,"3745 N. Southport, Chicago, IL, 60613",https://cdn.choosechicago.com/uploads/2024/02/Jersey-Boys-Chicago-900x343.png
"Museums, Galleries & Exhibitions",Alice Shaddle: Fuller Circles and free public programming,"Hyde Park Art Center, the renowned non-profit hub for contemporary art located on Chicago’s vibrant South Side, announces Alice Shaddle: Fuller Circles, introducing the enduring…","Wednesday, March 27th",8:00 a.m.,"Sunday, June 16th",5:00 p.m.,Hyde Park Art Center,5020 South Cornell Avenue,https://cdn.choosechicago.com/uploads/2024/03/Qv2-cskB-900x590.jpg
Theatre & Performing Arts,The Choir of Man,"DIRECT FROM LONDON’S WEST END! A LIMITED ENGAGEMENT! March 27th – May 26th, 2024 “THE ULTIMATE FEEL GOOD SHOW” — Edinburgh Evening News ⭐⭐⭐⭐⭐ “A…","Wednesday, March 27th",7:30 p.m.,"Sunday, May 26th",4:00 p.m.,Apollo Theater,2550 N. Lincoln Ave.,https://cdn.choosechicago.com/uploads/2024/03/The-Choir-of-Man-900x450.jpg
"Museums, Galleries & Exhibitions",b l i n k 2.0,"b l i n k 2.0 is a group exhibition/temporary public art project featuring the diverse work of 21 international artists. Photography, video, painting, collage,…","Thursday, March 28th",5:00 p.m.,"Sunday, April 28th",12:00 a.m.,1 west grand,1 West Grand Avenue,https://cdn.choosechicago.com/uploads/2024/03/b-l-i-n-k-2.0-1-1.png
"Museums, Galleries & Exhibitions",Perceptions of Flow “Movement”,"Evanston Art Center 2024 Exhibition: Perceptions of Flow “Movement” EXHIBITION DATES: March 30 – April 28, 2024 OPENING RECEPTION: Sunday, April 7, 2024 1–4 pm…","Saturday, March 30th",1:00 p.m.,"Sunday, April 28th",4:00 p.m.,Evanston Art Center,1717 Central Street,https://cdn.choosechicago.com/uploads/2024/03/MOVEMENT-Website-Header-900x378.jpg
Theatre & Performing Arts,Rhapsody Theater presents Joshua Jay in Look Closer,"Fresh off a popular New York City run that launched at the legendary Carnegie Hall, internationally renowned magician Joshua Jay returns to the Rhapsody Theater…","Thursday, April 4th",8:00 a.m.,"Sunday, April 28th",5:00 p.m.,The Rhapsody Theater,1328 W Morse Ave,https://cdn.choosechicago.com/uploads/2024/03/PLxfrIgg-1-900x600.jpg
"Museums, Galleries & Exhibitions",The Strength It Takes To Be Alone,"The Strength it Takes to be Alone is a solo exhibition, featuring Yong Joo Kim, that runs from April 4th, 2024 through May 26th, 2024 in…","Thursday, April 4th",10:30 a.m.,"Sunday, May 26th",5:00 p.m.,Pistachios Jewelry,716 N Wabash Ave.,https://cdn.choosechicago.com/uploads/2024/03/1c.yongjookim_collect_detail_sklo-502x800.jpg
Theatre & Performing Arts,Rhapsody Theater presents Look Closer with Joshua Jay,"Fresh off a popular New York City run that launched at the legendary Carnegie Hall, internationally renowned magician Joshua Jay returns to the Rhapsody Theater…","Thursday, April 4th",7:30 p.m.,"Sunday, April 28th",7:30 p.m.,The Rhapsody Theater,1328 W Morse Ave,https://cdn.choosechicago.com/uploads/2024/03/RI3TxQYv-900x600.jpg
"Festivals, Fairs & Special Events",Poetry Making Playground,"Kuumba Lynx is proud to bring a Poetry Making Playground at 601 s California, on April 1st – 30th 2024, with an option to extend…","Friday, April 5th",5:00 p.m.,"Saturday, June 1st",8:00 p.m.,601 s California,601 S California Ave,https://cdn.choosechicago.com/uploads/2024/02/1-1-800x800.jpg
"Museums, Galleries & Exhibitions",The Process of Discovery at Evanston Art Center,"EXHIBITION DATES: April 6 – May 5, 2024 OPENING RECEPTION: Sunday, April 7th, 1-4 pm GALLERY HOURS: Monday–Thursday, 9 am–6 pm; Friday, 9 am–5 pm;…","Saturday, April 6th",,"Sunday, May 5th",,Evanston Art Center,1717 Central Street,https://cdn.choosechicago.com/uploads/2024/03/JulieRA-Website-Header-900x378.jpg
"Museums, Galleries & Exhibitions",The United Colors of Robert Earl Paige at Hyde Park Art Center,"Hyde Park Art Center proudly presents The United Colors of Robert Earl Paige, the career-spanning survey of artist, designer, and educator Robert Earl Paige (b.…","Saturday, April 6th",1:00 p.m.,"Sunday, October 27th",5:00 p.m.,Hyde Park Art Center,5020 South Cornell Avenue,https://cdn.choosechicago.com/uploads/2024/03/Robert-Earl-Paige-in-Studio-at-Hyde-Park-Art-Centerjpg-834x800.jpg
