title,description,image_url,text_cleaned
Lincoln Park Zoo,"Free to the public, this is one of the nation’s oldest zoos. Kids love the old-school carousel, locomotive rides, and the Pritzker Family Children’s Zoo, a kid-friendly home for North American animals. Just next door is the Farm-in-the-Zoo, which gives kids the chance to pet goats, cows, and ponies, and experience a little country life in the city.",https://cdn.choosechicago.com/uploads/2019/05/Brookfield-Zoo.jpg,free to the public this is one of the nation s oldest zoos kids love the old school carousel locomotive rides and the pritzker family children s zoo a kid friendly home for north american animals just next door is the farm in the zoo which gives kids the chance to pet goats cows and ponies and experience a little country life in the city 
Brookfield Zoo,"is set within a 216-acre nature park. World-renowned, the zoo’s 2,000+ residents have captivated and educated visitors since 1934. Don’t forget to take in a dolphin show at Seven Seas, and sign up for seasonal giraffe feedings, penguin encounters, and education-focused animal kingdom experiences.",,s set within a  acre nature park world renowned the zoo s   residents have captivated and educated visitors since  don t forget to take in a dolphin show at seven seas and sign up for seasonal giraffe feedings penguin encounters and education focused animal kingdom experiences 
Millennium Park,"In  each summer, kids splash around in Crown Fountain’s shallow pool and dash underneath the water spouting from the lips of video-projected Chicago locals. Springtime is perfect for a self-guided scavenger hunt through Lurie Garden. In winter, skate with the city skyline as your backdrop at the magical McCormick Tribune Ice Rink. And no matter the season, and make faces in the reflective surface of the stainless steel sculpture Cloud Gate, aka “The Bean.”",https://cdn.choosechicago.com/uploads/2019/05/ChooseChicago_Millenium-Park.jpg,in each summer kids splash around in crown fountain s shallow pool and dash underneath the water spouting from the lips of video projected chicago locals springtime is perfect for a self guided scavenger hunt through lurie garden in winter skate with the city skyline as your backdrop at the magical mccormick tribune ice rink and no matter the season and make faces in the reflective surface of the stainless steel sculpture cloud gate aka “the bean 
Navy Pier ,"Iconic is the place for rides on a towering climate-controlled Ferris wheel, an old-fashioned Wave Swinger, and a whimsical 1920s-inspired musical carousel at Pier Park. And it’s the place to feel the excitement of summer fireworks, sightseeing cruises, Segway tours, an amazing maze, the Chicago Children’s Museum, fun stores, and the immersive FlyOver Chicago ride.",https://cdn.choosechicago.com/uploads/2019/05/NAVY-PIER-79-900x601.jpg,iconic is the place for rides on a towering climate controlled ferris wheel an old fashioned wave swinger and a whimsical s inspired musical carousel at pier park and it s the place to feel the excitement of summer fireworks sightseeing cruises segway tours an amazing maze the chicago children s museum fun stores and the immersive flyover chicago ride 
Shedd Aquarium ,"Right next door to Adler Planetarium and Field Museum on the Museum Campus, gives new meaning to “wow.” Not only can you explore underwater worlds from across the globe, but the Shedd offers unique, up-close-and-personal experiences, like museum sleepovers, behind-the-scenes tours, and extraordinary animal encounters, like joining in a shark feeding tour, being a trainer for a day, and interacting with stingrays.",https://cdn.choosechicago.com/uploads/2019/05/Shedd-28-900x600.jpg,right next door to adler planetarium and field museum on the museum campus gives new meaning to “wow not only can you explore underwater worlds from across the globe but the shedd offers unique up close and personal experiences like museum sleepovers behind the scenes tours and extraordinary animal encounters like joining in a shark feeding tour being a trainer for a day and interacting with stingrays 
Art Institute of Chicago ,"Don’t think the kids will enjoy an art museum? Then you haven’t visited the Art Institute‘s Thorne Miniature Rooms. These meticulously reproduced miniature rooms bring the world of art and architecture to a kid’s level. There’s also free admission to the Ryan Education Center, which hosts special events, interactive workshops, and family programming for kids 14 and under.",,don t think the kids will enjoy an art museum then you haven t visited the art institute‘s thorne miniature rooms these meticulously reproduced miniature rooms bring the world of art and architecture to a kid s level there s also free admission to the ryan education center which hosts special events interactive workshops and family programming for kids  and under 
American Writers Museum ,"Visit the Children’s Literature Gallery at the American Writers Museumto get the kids all fired up about reading. A fabulous mural created by celebrated illustrator and author Paul O. Belinsky adorns the gallery, depicting friendly squirrels reading classic kids’ books.",https://cdn.choosechicago.com/uploads/2019/05/American-Writers-Museum.jpg,visit the children s literature gallery at the american writers museumto get the kids all fired up about reading a fabulous mural created by celebrated illustrator and author paul o belinsky adorns the gallery depicting friendly squirrels reading classic kids books 
Bronzeville Children’s Museum ,"The is the first African American children’s museum in the country. It’s filled with exhibits for children aged 3 to 9, with a unique tour format that ensures kids get maximum educational value from each exhibit.",,the is the first african american children s museum in the country it s filled with exhibits for children aged  to  with a unique tour format that ensures kids get maximum educational value from each exhibit 
Chicago Children’s Museum ,"Kids can stretch out, crawl, and use all five senses throughout interactive exhibits such as WaterWays, Dinosaur Expedition, and Treehouse Trails. Best of all, the is located at Navy Pier — a goldmine of family-friendly things to do on Chicago’s scenic lakefront.",,kids can stretch out crawl and use all five senses throughout interactive exhibits such as waterways dinosaur expedition and treehouse trails best of all the is located at navy pier — a goldmine of family friendly things to do on chicago s scenic lakefront 
Chicago History Museum,"Climb aboard the very first ‘L’ train car, ride a high-wheel bicycle, hear the Great Chicago Fire, catch a fly ball at Comiskey Park, smell the Union Stock Yard, dive into a giant Chicago-style hot dog — all at the .",,climb aboard the very first ‘l train car ride a high wheel bicycle hear the great chicago fire catch a fly ball at comiskey park smell the union stock yard dive into a giant chicago style hot dog — all at the 
Sloomoo Institute,"Kids — and kids at heart — and invited to experience the ‘s interactive slime museum. Visitors can explore a variety of hands-on exhibits featuring all sorts of textural, scented slimes. Come experience the joys of sensory play, soothing ASMR, and contemporary art.",https://cdn.choosechicago.com/uploads/2019/05/GPSphoto-SloomooChicago-8-900x600.jpg,kids — and kids at heart — and invited to experience the ‘s interactive slime museum visitors can explore a variety of hands on exhibits featuring all sorts of textural scented slimes come experience the joys of sensory play soothing asmr and contemporary art 
Chicago Sports Museum ,"The combines high-tech interactivity with unique sports memorabilia and an impressive collection of game-used treasures and other artifacts. Kids can test their skills against some of the all-time greats, use CSI-type technology to unravel some of Chicago’s most infamous sports mysteries, step into a replica broadcast booth and call a game just like Harry Caray, and so much more.",,the combines high tech interactivity with unique sports memorabilia and an impressive collection of game used treasures and other artifacts kids can test their skills against some of the all time greats use csi type technology to unravel some of chicago s most infamous sports mysteries step into a replica broadcast booth and call a game just like harry caray and so much more 
Field Museum ,"takes adventure to a whole new level with the likes of SUE the T. rex, man-eating tigers, and Máximo the Titanosaur, the largest dinosaur known to man. The Field sits on the lakeside Museum Campus, along with Adler Planetarium and Shedd Aquarium. Take a Shoreline Sightseeing boat from Navy Pier or Willis Tower and explore all three.",,takes adventure to a whole new level with the likes of sue the t rex man eating tigers and máximo the titanosaur the largest dinosaur known to man the field sits on the lakeside museum campus along with adler planetarium and shedd aquarium take a shoreline sightseeing boat from navy pier or willis tower and explore all three 
Museum of Science & Industry,"The  is the largest science museum in the Western Hemisphere, which means there’s plenty of room for spinning tornados, a real-life U-boat, trains, planes, and, well, just about everything else you could possibly imagine. Oh, and don’t miss screenings at the five-story, wraparound Giant Dome Theater.",,the is the largest science museum in the western hemisphere which means there s plenty of room for spinning tornados a real life u boat trains planes and well just about everything else you could possibly imagine oh and don t miss screenings at the five story wraparound giant dome theater 
